session_id,channel,method,bp,bp_x,warning,power
ID03_01,smo2_dom,mean,2,254.3051326534137,NA,254.3051326534137
ID03_01,smo2_dom,slope,1,141.8658777822082,NA,141.8658777822082
ID03_01,smo2_dom,slope,2,321.16530621718124,NA,321.16530621718124
ID03_01,smo2_dom,ratio,1,197.95218743710427,NA,197.95218743710427
ID03_01,smo2_dom,ratio,2,261.73370178152163,NA,261.73370178152163
ID03_01,smo2_dom,Log-log,1,274.4,NA,274.4
ID03_01,smo2_dom,Dmax,2,282.15773599050857,NA,282.15773599050857
ID03_01,smo2_dom,ModDmax,2,320.06982102353834,NA,320.06982102353834
ID03_01,smo2_dom,Log-log.ratio,1,178.1,NA,178.1
ID03_01,smo2_dom,Dmax.ratio,2,220.81749622729888,NA,220.81749622729888
ID03_01,smo2_dom,ModDmax.ratio,2,249.2329579746656,NA,249.2329579746656
ID03_01,smo2_dom,poly,1,190.7723206845575,NA,190.7723206845575
ID03_01,smo2_dom,poly,2,NA,NA,NA
ID03_01,smo2_ndom,raw,1,804.6162813174002,NA,192.28217084232003
ID03_01,smo2_ndom,raw,2,1552.265560527131,NA,291.96874140361746
ID03_01,smo2_ndom,mean,1,193.40519268034475,NA,193.40519268034475
ID03_01,smo2_ndom,mean,2,250.20352616935045,NA,250.20352616935045
ID03_01,smo2_ndom,slope,1,NA,NA,NA
ID03_01,smo2_ndom,slope,2,NA,NA,NA
ID03_01,smo2_ndom,ratio,1,199.5142208800311,NA,199.5142208800311
ID03_01,smo2_ndom,ratio,2,284.997929725966,NA,284.997929725966
ID03_01,smo2_ndom,Log-log,1,284.3,NA,284.3
ID03_01,smo2_ndom,Dmax,2,293.02709903268675,NA,293.02709903268675
ID03_01,smo2_ndom,ModDmax,2,324.6762265604419,NA,324.6762265604419
ID03_01,smo2_ndom,Log-log.ratio,1,183.9,NA,183.9
ID03_01,smo2_ndom,Dmax.ratio,2,231.85985121536618,NA,231.85985121536618
ID03_01,smo2_ndom,ModDmax.ratio,2,264.0734496652362,NA,264.0734496652362
ID03_01,smo2_ndom,poly,1,206.28081624190395,NA,206.28081624190395
ID03_01,smo2_ndom,poly,2,NA,NA,NA
ID03_01,smo2_avg,raw,1,589.4906355188016,NA,163.59875140250688
ID03_01,smo2_avg,raw,2,1568.7125721259645,NA,294.16167628346193
ID03_01,smo2_avg,mean,1,190.1526785418559,NA,190.1526785418559
ID03_01,smo2_avg,mean,2,252.19923583270287,NA,252.19923583270287
ID03_01,smo2_avg,slope,1,143.62490446971333,NA,143.62490446971333
ID03_01,smo2_avg,slope,2,321.9936142661784,NA,321.9936142661784
ID03_01,smo2_avg,ratio,1,198.70568784635952,NA,198.70568784635952
ID03_01,smo2_avg,ratio,2,278.9219307281287,NA,278.9219307281287
ID03_01,smo2_avg,Log-log,1,278.8,NA,278.8
ID03_01,smo2_avg,Dmax,2,287.68002025450886,NA,287.68002025450886
ID03_01,smo2_avg,ModDmax,2,322.1772242614907,NA,322.1772242614907
ID03_01,smo2_avg,Log-log.ratio,1,181.2,NA,181.2
ID03_01,smo2_avg,Dmax.ratio,2,226.8037645031322,NA,226.8037645031322
ID03_01,smo2_avg,ModDmax.ratio,2,257.69716750366433,NA,257.69716750366433
ID03_01,smo2_avg,poly,1,197.8336508262544,NA,197.8336508262544
ID03_01,smo2_avg,poly,2,NA,NA,NA
ID03_02,smo2_dom,raw,1,540.4309810448818,NA,157.05746413931757
ID03_02,smo2_dom,raw,2,1714.7108011413875,NA,313.6281068188517
ID03_02,smo2_dom,mean,1,194.31941028676505,NA,194.31941028676505
ID03_02,smo2_dom,mean,2,267.5103889039956,NA,267.5103889039956
ID03_02,smo2_dom,slope,1,164.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,164.9999
ID03_02,smo2_dom,slope,2,245.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,245.0001
ID03_02,smo2_dom,ratio,1,198.05932185243134,NA,198.05932185243134
ID03_02,smo2_dom,ratio,2,264.8431807714458,NA,264.8431807714458
ID03_02,smo2_dom,Log-log,1,297.3,NA,297.3
ID03_02,smo2_dom,Dmax,2,291.5108063541079,NA,291.5108063541079
ID03_02,smo2_dom,ModDmax,2,331.28925709358293,NA,331.28925709358293
ID03_02,smo2_dom,Log-log.ratio,1,202.3,NA,202.3
ID03_02,smo2_dom,Dmax.ratio,2,250.46377668869863,NA,250.46377668869863
ID03_02,smo2_dom,ModDmax.ratio,2,284.57319752053326,NA,284.57319752053326
ID03_02,smo2_dom,poly,1,215.29971899878774,NA,215.29971899878774
ID03_02,smo2_dom,poly,2,NA,NA,NA
ID03_02,smo2_ndom,raw,1,832.671951386458,NA,196.02292685152776
ID03_02,smo2_ndom,raw,2,1526.698317458714,NA,288.5597756611619
ID03_02,smo2_ndom,mean,1,180.25199734775993,NA,180.25199734775993
ID03_02,smo2_ndom,mean,2,257.83297869943794,NA,257.83297869943794
ID03_02,smo2_ndom,slope,1,218.64648792638238,NA,218.64648792638238
ID03_02,smo2_ndom,slope,2,315.5101486458856,NA,315.5101486458856
ID03_02,smo2_ndom,ratio,1,202.3548683053533,NA,202.3548683053533
ID03_02,smo2_ndom,ratio,2,311.07923227626526,NA,311.07923227626526
